fiscalDateEnding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2018-09-30,418200000,-800000,None,43700000,-15700000,6400000,11100000,-1700000,15200000,247600000,-19800000,-457200000,-1395000000,None,None,None,42200000,42200000,None,None,None,None,1300000,1300000,-58400000,400000,247600000
2018-06-30,266100000,-2800000,None,-19600000,28600000,6400000,13400000,22400000,6200000,228400000,-1159100000,968000000,1000000000,None,None,None,42400000,42400000,None,None,None,None,1200000,1200000,55600000,-19400000,228400000
2018-03-31,281700000,9500000,None,-33400000,17500000,94400000,9700000,8500000,9000000,211300000,-51500000,-551600000,-535000000,None,None,None,42100000,42100000,None,None,None,None,1600000,1600000,-305100000,16300000,211300000
2017-12-31,368800000,157121000,None,-159217000,-17907000,81243000,12900000,-13693000,-4300000,346983000,-81300000,-219800000,220000000,None,None,None,36300000,36273000,None,None,None,None,66504000,1000000,65700000,-2000000,443900000
2017-09-30,315600000,3145000,None,52843000,16643000,88645000,11100000,10243000,6400000,190273000,-66200000,-331800000,-310000000,None,None,None,35600000,35543000,None,None,None,None,1149000,1200000,-57700000,24700000,190300000
2017-06-30,171900000,3927000,None,-73481000,8695000,87916000,9900000,3423000,5300000,179556000,-40800000,-221300000,-200000000,None,None,None,35500000,35494000,None,None,None,None,1013000,1000000,-67400000,22800000,179500000
2017-03-31,378200000,10828000,None,71098000,21425000,87196000,14900000,13520000,7900000,158071000,-21300000,-397100000,-370000000,None,None,None,35400000,35443000,None,None,None,None,1032000,1000000,-26500000,13700000,158100000
2016-12-31,270427000,101675000,None,13540000,-7383000,59317000,10367000,4886000,-12216000,289104000,-3449282000,3084595000,1930000000,None,None,None,30468000,30498000,None,None,None,None,4064000,724000,-125059000,-30799000,182081000
2016-09-30,316541000,-2079000,None,59886000,5882000,59695000,8585000,70000,5812000,167079000,-10381000,-47318000,0,None,None,None,30249000,30249000,None,None,None,None,861000,861000,259976000,1134000,167079000
2016-06-30,11005000,915000,None,-55918000,-5261000,60878000,8859000,-1458000,-3803000,158069000,-19281000,-41795000,-20000000,None,None,None,30210000,30210000,None,None,None,None,-1064000,836000,99261000,-9423000,158069000
2016-03-31,218763000,6363000,None,-19731000,1611000,60610000,9489000,-2296000,3907000,151416000,-273956000,-190182000,-160000000,None,None,None,30173000,30173000,None,None,None,None,2779000,879000,-255478000,1588000,151416000
2015-12-31,278677000,76978000,None,8535000,6783000,53039000,8757000,12680000,-5897000,278677000,-641681000,466910000,-410000000,None,None,None,25124000,25124000,None,None,None,None,-17628000,772000,77933000,-16554000,208597000
2015-09-30,160417000,-4245000,None,-5065000,-2933000,51045000,6830000,-2008000,-925000,160417000,-442323000,256091000,275000000,None,None,None,25111000,25111000,None,None,None,None,4940000,640000,22007000,-18380000,160417000
2015-06-30,172549000,-2052000,None,-12328000,422000,50868000,10723000,130000,292000,171280000,-11205000,-112903000,-100000000,None,None,None,25075000,25075000,None,None,None,None,10290000,690000,63078000,14637000,171280000
2015-03-31,260399000,7608000,None,8705000,18722000,49309000,9950000,11042000,7680000,155773000,-603123000,386144000,415000000,None,None,None,25024000,25024000,None,None,None,None,8187000,787000,5063000,-38357000,155773000
2014-12-31,261209000,68927000,None,-30797000,-21492000,46660000,7809000,-6310000,-15182000,283749000,-7712000,-184632000,-155000000,None,None,None,20032000,20032000,None,None,None,None,-26029000,671000,46318000,-22547000,185936000
2014-09-30,226102000,-1295000,None,17258000,-772000,51038000,9275000,-3090000,2318000,155510000,-317633000,112873000,125000000,None,None,None,20006000,20006000,None,None,None,None,6424000,624000,-1170000,-22512000,155510000
2014-06-30,140502000,7626000,None,5971000,34696000,49881000,10082000,23469000,1803000,157361000,-10244000,-71714000,-70000000,None,None,None,19958000,19958000,None,None,None,None,14427000,727000,62397000,3853000,157361000
2014-03-31,212628000,-2340000,None,-12887000,-8476000,49705000,10478000,-3764000,4712000,147226000,-12516000,-154631000,-150000000,None,None,None,19863000,19863000,None,None,None,None,10729000,729000,43165000,-2316000,147226000
2013-12-31,235780000,93736000,None,10250000,-9283000,46795000,9179000,-11798000,-2515000,258089000,-69158000,-165887000,-140000000,None,None,None,16386000,16386000,None,None,None,None,-17484000,616000,-260000,-995000,165703000
2013-09-30,255766000,1351000,None,22146000,26851000,50057000,11460000,31691000,4840000,136323000,-18617000,-161392000,348000000,None,None,None,16368000,16368000,None,None,None,None,6683000,583000,85409000,9652000,136323000
2013-06-30,139739000,-151000,None,16419000,-14976000,48060000,10684000,-16301000,22049000,111353000,-1014878000,819716000,42000000,None,None,None,16338000,16338000,None,None,None,None,5908000,608000,-55451000,-28000,111353000
2013-03-31,171268000,-4506000,236000,-25510000,2767000,44278000,11205000,14454000,-11687000,124914000,-13210000,-88804000,-100000000,None,None,None,0,None,None,None,None,None,9742000,642000,59432000,-9822000,124914000
